Prj_Code,SiteCode,SiteName,PropertyName,RefugeCode,Ownership,Region,City,County,State,PrimaryContact,SecondContact,PhoneNumber,Latitude,Longitude,Elevation,Class,Longevity,Origin
5,AK-TETUK,UNKNOWN TETLIN NWR,Tetlin National Wildlife Refuge,TET,,7,,,AK,,,,,,,,,
5,AK-UNK,Unknown Alaska,,,,,,,AK,,,,,,,,,
3,AlaGolf1,Alamosa Golf Course #1,Alamosa Golf Course,,Alamosa Golf Course,,Alamosa,Alamosa,CO,Alamosa Golf Course,,,37.48011,-105.8718,2309,Pond,Temporary,Artificial
3,AlaGolf2,Alamosa Golf Course #2,Alamosa Golf Course,,Alamosa Golf Course,,Alamosa,Alamosa,CO,Alamosa Golf Course,,,37.47987,-105.89392,2308,Pond,Temporary,Artificial
3,Alamosa1,Daves Alamosa NWR #1,Alamosa National Wildlife Refuge,,US Fish and Game,6,Alamosa,Alamosa,CO,US Fish and Game,,,37.43863,-105.80187,2298,Pond,Temporary,Artificial
3,Alamosa2,Daves Alamosa NWR #2,Alamosa National Wildlife Refuge,,US Fish and Game,6,Alamosa,Alamosa,CO,US Fish and Game,,,37.41737,-105.77985,2299,Pond,Temporary,Artificial
3,Alamosa3,Daves Alamosa NWR #3,Alamosa National Wildlife Refuge,,US Fish and Game,6,Alamosa,Alamosa,CO,US Fish and Game,,,37.41013,-105.7822,2300,River,Permanent,Natural
3,Alamosa4,Daves Alamosa NWR #4,Alamosa National Wildlife Refuge,,US Fish and Game,6,Alamosa,Alamosa,CO,US Fish and Game,,,37.39708,-105.77979,2306,Pond,Temporary,Artificial
3,Alamosa5,Daves Alamosa NWR #5,Alamosa National Wildlife Refuge,,US Fish and Game,6,Alamosa,Alamosa,CO,US Fish and Game,,,37.38289,-105.77423,2304,Pond,Permanent,Artificial
3,Alamosa6,Daves Alamosa NWR #6,Alamosa National Wildlife Refuge,,Us Fish and Game,6,Alamosa,Alamosa,CO,US Fish and Game,,,37.37793,-105.7688,2297,Pond,Temporary,Artificial
3,Alamosa7,Daves Alamosa NWR #7,Alamosa National Wildlife Refuge,,US Fish and Game,6,Alamosa,Alamosa,CO,US Fish and Game,,,37.41393,-105.75793,2303,Pond,Temporary,Artificial
5,AL-WLR14,WLR14,Wheeler National Wildlife Refuge,WLR,,4,,,AL,,,,34.55419,-86.72837,,,,
3,Anderson,Anderson Pond #62,,,OSMP,,Boulder,Boulder,CO,OSMP,,,40.01593,-105.15278,1610,Pond,Permanent,Artificial
5,AR-BLD06,BLD06,Bald Knob National Wildlife Refuge,BLD,,4,,,AR,,,,35.22289,-91.59908,,,,
5,AR-BLD07,BLD07,Bald Knob National Wildlife Refuge,BLD,,4,,,AR,,,,35.23281,-91.59214,,,,
5,AR-CCH01,CCH01,Cache River National Wildlife Refuge,CCH,,4,,,AR,,,,35.115667,-91.166444,,,,
5,AR-CCH02,CCH02,Cache River National Wildlife Refuge,CCH,,4,,,AR,,,,35.115194,-91.166917,,,,
5,AR-FSL01,FSL01,Felsenthal National Wildlife Refuge,FSL,,4,,,AR,,,,33.25145,-92.18905,,,,
5,AR-FSL05,FSL05,Felsenthal National Wildlife Refuge,FSL,,4,,,AR,,,,33.152,-92.18766,,,,
5,AR-FSL2B,FSL2B,Felsenthal National Wildlife Refuge,FSL,,4,,,AR,,,,33.25126,-92.18727,,,,
5,AR-OVF07,OVF07,Overflow National Wildlife Refuge,OVF,,4,,,AR,,,,33.14751,-91.60339,,,,
5,AR-WHR02,WHR02,White River National Wildlife Refuge,WHR,,4,,,AR,,,,34.31221,-91.12175,,,,
5,AR-WHR04,WHR04,White River National Wildlife Refuge,WHR,,4,,,AR,,,,34.11833,-91.20073,,,,
